client,addrnumber,date_from,nation,date_to,title,name1,name2,name3,name4,name_text,name_co,city1,city2,city_code,cityp_code,home_city,cityh_code,chckstatus,regiogroup,post_code1,post_code2,post_code3,pcode1_ext,pcode2_ext,pcode3_ext,po_box,dont_use_p,po_box_num,po_box_loc,city_code2,po_box_reg,po_box_cty,postalarea,transpzone,street,dont_use_s,streetcode,streetabbr,house_num1,house_num2,house_num3,str_suppl1,str_suppl2,str_suppl3,location,building,floor,roomnumber,country,langu,region,addr_group,flaggroups,pers_addr,sort1,sort2,sort_phn,deflt_comm,tel_number,tel_extens,fax_number,fax_extens,flagcomm2,flagcomm3,flagcomm4,flagcomm5,flagcomm6,flagcomm7,flagcomm8,flagcomm9,flagcomm10,flagcomm11,flagcomm12,flagcomm13,addrorigin,mc_name1,mc_city1,mc_street,extension1,extension2,time_zone,taxjurcode,address_id,langu_crea,adrc_uuid,uuid_belated,id_category,adrc_err_status,po_box_lobby,deli_serv_type,deli_serv_number,county_code,county,township_code,township,mc_county,mc_township,xpcpt,operation_flag,is_deleted,recordstamp
800,730915,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,722976,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,731605,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,730827,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,733081,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,729978,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,733246,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,730010,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,676386,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,728882,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,729623,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,731579,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,731897,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,731502,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,727382,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,731771,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,730755,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,730911,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,733108,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,731606,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,733472,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,733271,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,733144,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,732602,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,733114,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,731765,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,730815,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,731611,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,728878,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,729630,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,678220,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,733214,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,729318,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,657289,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,731870,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,730879,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,731622,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,731494,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,731898,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,730831,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,728990,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,733080,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,721341,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,731762,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,731555,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,INT,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,657578,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,731619,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,731620,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,723762,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,INT,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,731477,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,731761,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,731630,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,731770,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,733079,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,730835,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,727381,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,730867,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,731775,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,732584,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,732112,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,731892,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,733136,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,732674,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,731908,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,732092,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,731998,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,INT,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,656611,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,731763,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,729515,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,733083,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,731774,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,726623,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,INT,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,730875,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,676372,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,730823,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,731871,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,723659,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,INT,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,731776,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
